algorithm,best_fitness,execution_time,n_pv,n_wt,n_bt,autonomy_days,success,output_directory
PSO,-0.2131758384346173,437.72548031806946,10,5,10,2.2075424925604663,True,outputs/pso/run_20250913_175219
IALO,-0.03996862347515745,471.22492003440857,54,20,10,2.1038624199124745,True,outputs/ialo/run_20250913_175219
ALO,-0.0930579573326244,495.7144224643707,41,9,13,3.1208227105940054,True,outputs/alo/run_20250913_175219
CSA,-0.003835218176715005,587.6870853900909,67,23,10,2.6770340874716556,True,outputs/csa/run_20250913_175219
